1	78.659%	164
2	61.261%	111
3	60.303%	330
4	76.596%	47
5	68.750%	128
6	79.104%	67
7	65.789%	38
8	65.517%	87
9	77.429%	319
10	61.644%	146
11	71.579%	95
12	83.088%	136
13	68.986%	345
14	58.427%	89
15	84.783%	92
16	61.329%	331
17	67.347%	98
18	54.545%	11
19	75.581%	86
20	75.850%	294
21	73.214%	168
22	68.137%	204
23	75.926%	162
24	72.727%	22
25	66.864%	169
26	44.737%	38
27	88.235%	68
28	62.914%	151
29	44.037%	109
30	71.667%	60
31	60.481%	291
32	64.706%	17
33	60.000%	5
34	77.736%	265
35	64.923%	325
36	86.301%	73
37	62.338%	154
38	100.000%	1
39	78.261%	115
40	78.218%	202
41	70.199%	151
42	62.766%	94
43	74.809%	262
44	66.667%	45
45	75.410%	61
46	75.000%	4
47	80.420%	143
48	66.667%	24
49	70.588%	34
50	78.889%	90
51	72.727%	66
52	67.568%	37
53	66.379%	116
54	77.419%	93
55	68.939%	132
56	60.784%	102
57	76.190%	21
58	48.120%	133
59	84.211%	38
60	83.607%	61
61	66.667%	108
62	63.265%	49
63	74.576%	59
64	100.000%	1
65	65.625%	32
66	67.925%	53
67	47.059%	17
68	70.000%	10
69	82.143%	28
70	66.667%	21
71	100.000%	8
72	64.000%	25
73	76.364%	55
74	66.667%	6
75	71.429%	7
76	77.778%	27
77	70.000%	20
78	0.000%	5
79	83.333%	6
80	81.818%	11
81	75.000%	12
82	100.000%	3
83	71.429%	7
84	53.846%	13
85	25.000%	16
86	100.000%	4
87	50.000%	4
88	68.182%	22
89	80.000%	10
90	89.286%	28
91	50.000%	6
92	100.000%	1
93	0.000%	1
94	66.667%	21
95	66.667%	6
96	100.000%	4
97	57.143%	7
98	100.000%	3
99	55.556%	9
100	0.000%	1
101	0.000%	1
102	88.889%	9
103	100.000%	1
104	100.000%	1
105	100.000%	2
106	100.000%	1
107	66.667%	6
108	100.000%	1
109	50.000%	2
